n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,rfe_features,pca_components,splits,Train R^2,Val R^2
100,,2,2,,40,20,7,0.9208794517287904,0.21896116607388313
100,20,5,2,sqrt,45,25,5,0.8952790633160191,0.22732029174781881
50,,2,1,,50,20,7,0.9318550589437178,0.21425856035201848
100,,5,2,log2,40,30,6,0.8922869242691234,0.2472571711194592
100,,2,1,sqrt,45,20,6,0.9323085212054757,0.25207140517633125
50,,5,2,log2,40,25,7,0.8899303482474313,0.24531667276208327
200,,5,2,sqrt,45,25,7,0.9022213748553043,0.25556352958399037
100,,2,1,log2,50,25,5,0.930905207812647,0.23370150446829233
200,20,2,1,log2,40,25,7,0.9261915248243714,0.25102177830347555
200,10,5,1,sqrt,40,20,5,0.6924247798648975,0.2321431221604716
