n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,Train R^2,Val R^2
50,,2,1,,0.9101579473392626,0.09649743080883286
50,,2,1,sqrt,0.9078759354905316,0.13520948903182764
50,,2,1,log2,0.9078759354905316,0.13520948903182764
50,,2,2,,0.8730973235917162,0.10082013304601531
50,,2,2,sqrt,0.8471487907440991,0.13096534654607894
50,,2,2,log2,0.8471487907440991,0.13096534654607894
50,,5,1,,0.8825132781283518,0.10042931054850412
50,,5,1,sqrt,0.8656440527716469,0.12624700543650164
50,,5,1,log2,0.8656440527716469,0.12624700543650164
50,,5,2,,0.8616985894269253,0.10238071854987837
50,,5,2,sqrt,0.8328500600839812,0.13265507073789576
50,,5,2,log2,0.8328500600839812,0.13265507073789576
50,10,2,1,,0.6037519985227249,0.13449850306504793
50,10,2,1,sqrt,0.5486030062502978,0.16088671862937526
50,10,2,1,log2,0.5486030062502978,0.16088671862937526
50,10,2,2,,0.5982652487006935,0.13366623650930842
50,10,2,2,sqrt,0.5390930879752206,0.1587500616569792
50,10,2,2,log2,0.5390930879752206,0.1587500616569792
50,10,5,1,,0.5962402857698255,0.13387954572431032
50,10,5,1,sqrt,0.540806469488439,0.16630410378451746
50,10,5,1,log2,0.540806469488439,0.16630410378451746
50,10,5,2,,0.595054050466778,0.13357609378529403
50,10,5,2,sqrt,0.5376538295177513,0.1624043697426482
50,10,5,2,log2,0.5376538295177513,0.1624043697426482
50,20,2,1,,0.8990995814426335,0.0990072458101209
50,20,2,1,sqrt,0.8891300393593855,0.14547207005259444
50,20,2,1,log2,0.8891300393593855,0.14547207005259444
50,20,2,2,,0.8653210486711765,0.10288448006500675
50,20,2,2,sqrt,0.8343287511567195,0.1294858196433392
50,20,2,2,log2,0.8343287511567195,0.1294858196433392
50,20,5,1,,0.872622536263471,0.10419206492875785
50,20,5,1,sqrt,0.8489476948093628,0.13613701896771818
50,20,5,1,log2,0.8489476948093628,0.13613701896771818
50,20,5,2,,0.8542844821209702,0.1031723675760337
50,20,5,2,sqrt,0.8199472018765614,0.13100501736939157
50,20,5,2,log2,0.8199472018765614,0.13100501736939157
100,,2,1,,0.914017935594147,0.10069134567491274
100,,2,1,sqrt,0.9120424615699225,0.13553376507272538
100,,2,1,log2,0.9120424615699225,0.13553376507272538
100,,2,2,,0.8769559356763426,0.10805163074404449
100,,2,2,sqrt,0.8512905074743239,0.1384044206567494
100,,2,2,log2,0.8512905074743239,0.1384044206567494
100,,5,1,,0.8863756974411439,0.10541018543770182
100,,5,1,sqrt,0.8697668938460424,0.136759138390833
100,,5,1,log2,0.8697668938460424,0.136759138390833
100,,5,2,,0.865585161952642,0.10789418831827464
100,,5,2,sqrt,0.8365085607744737,0.13841292450995019
100,,5,2,log2,0.8365085607744737,0.13841292450995019
100,10,2,1,,0.6060252234649117,0.13806265224544964
100,10,2,1,sqrt,0.5507876272651668,0.16213686764678248
100,10,2,1,log2,0.5507876272651668,0.16213686764678248
100,10,2,2,,0.6005827761834992,0.13772156456728163
100,10,2,2,sqrt,0.5408456289544177,0.16147476806247157
100,10,2,2,log2,0.5408456289544177,0.16147476806247157
100,10,5,1,,0.5984594174158808,0.1380119094737633
100,10,5,1,sqrt,0.5420457287176618,0.16851651682527002
100,10,5,1,log2,0.5420457287176618,0.16851651682527002
100,10,5,2,,0.5974045380641636,0.138128250941568
100,10,5,2,sqrt,0.5385214795685334,0.16407335635622355
100,10,5,2,log2,0.5385214795685334,0.16407335635622355
100,20,2,1,,0.9024443100846702,0.10423244206439801
100,20,2,1,sqrt,0.8921876533594046,0.14100744671926985
100,20,2,1,log2,0.8921876533594046,0.14100744671926985
100,20,2,2,,0.8686795008110992,0.10927272069722398
100,20,2,2,sqrt,0.8379443638601896,0.1383627161970979
100,20,2,2,log2,0.8379443638601896,0.1383627161970979
100,20,5,1,,0.8758646740207325,0.10705123972636295
100,20,5,1,sqrt,0.8531775319885375,0.1414222274207387
100,20,5,1,log2,0.8531775319885375,0.1414222274207387
100,20,5,2,,0.8576449423483302,0.10992130330937874
100,20,5,2,sqrt,0.8238961686760199,0.1365467621092761
100,20,5,2,log2,0.8238961686760199,0.1365467621092761
200,,2,1,,0.916377660430262,0.11213508712501888
200,,2,1,sqrt,0.9144749483259457,0.14045617863520565
200,,2,1,log2,0.9144749483259457,0.14045617863520565
200,,2,2,,0.8791850249558021,0.11659358096093923
200,,2,2,sqrt,0.8535752829206679,0.14249003714631617
200,,2,2,log2,0.8535752829206679,0.14249003714631617
200,,5,1,,0.8887311781510941,0.11500054593682432
200,,5,1,sqrt,0.8722358863964035,0.1394711004338121
200,,5,1,log2,0.8722358863964035,0.1394711004338121
200,,5,2,,0.8678024948721802,0.11704638341229825
200,,5,2,sqrt,0.8388398231675771,0.1410995712461317
200,,5,2,log2,0.8388398231675771,0.1410995712461317
200,10,2,1,,0.6066681340139037,0.14405797817776284
200,10,2,1,sqrt,0.553065331606577,0.16359989538080302
200,10,2,1,log2,0.553065331606577,0.16359989538080302
200,10,2,2,,0.6011868742069251,0.14396417220390387
200,10,2,2,sqrt,0.5418023190694143,0.16439038465709385
200,10,2,2,log2,0.5418023190694143,0.16439038465709385
200,10,5,1,,0.5991456693397454,0.14457604505866403
200,10,5,1,sqrt,0.5433488836031565,0.1691989515100832
200,10,5,1,log2,0.5433488836031565,0.1691989515100832
200,10,5,2,,0.5979876886934936,0.14445308403174698
200,10,5,2,sqrt,0.5394942876527923,0.16448035248193876
200,10,5,2,log2,0.5394942876527923,0.16448035248193876
200,20,2,1,,0.9046405742187715,0.11563721657879977
200,20,2,1,sqrt,0.8946456593988479,0.1431630395310039
200,20,2,1,log2,0.8946456593988479,0.1431630395310039
200,20,2,2,,0.8707444490400429,0.11799395527976486
200,20,2,2,sqrt,0.8404795763350481,0.1430466129166205
200,20,2,2,log2,0.8404795763350481,0.1430466129166205
200,20,5,1,,0.8781134967127274,0.11667123373159301
200,20,5,1,sqrt,0.8552404941587964,0.14463663229922435
200,20,5,1,log2,0.8552404941587964,0.14463663229922435
200,20,5,2,,0.8596846411938358,0.11837727492909247
200,20,5,2,sqrt,0.826152587715459,0.14216759974118492
200,20,5,2,log2,0.826152587715459,0.14216759974118492
